Scenario,Variant,Fairness
1,TcpBbr,0.9998704383298118
1,TcpCubic,0.999391865085164
1,TcpNewReno,0.9996569192128897
2,TcpBbr,0.9816158920479857
2,TcpCubic,0.998965440768593
2,TcpNewReno,0.9846695081143717
3,TcpBbr,0.5771469353282204
3,TcpCubic,0.5495492052170758
3,TcpNewReno,0.5463660172794617
4,TcpBbr,0.5652419206393008
4,TcpCubic,0.5244506139379121
4,TcpNewReno,0.5987840416799117
